filename,ssim,psnr,status
EES0429209__X33__Y3F.jpg,0.814821,23.004738,ok
EES0429209__X36__Y03.jpg,0.923424,28.511511,ok
EES0429209__X36__Y09.jpg,0.728769,22.318410,ok
EES0429209__X39__Y09.jpg,0.880758,30.104513,ok
EES0429209__X39__Y3C.jpg,0.833183,22.838965,ok
EES0429209__X42__Y12.jpg,0.801871,23.841678,ok
EES0429209__X45__Y15.jpg,0.899309,29.714573,ok
EES0429209__X45__Y30.jpg,0.799923,25.170058,ok
EES0429209__X45__Y45.jpg,0.888409,23.983323,ok
EES0429209__X48__Y18.jpg,0.920786,27.214517,ok
EES0429209__X48__Y1B.jpg,0.907355,29.540656,ok
EES0429209__X48__Y1E.jpg,0.933914,29.510078,ok
EES0429209__X48__Y21.jpg,0.833041,25.724223,ok
EES0429209__X48__Y24.jpg,0.733085,21.763925,ok
EES0429209__X48__Y27.jpg,0.823921,24.616011,ok
EES0429209__X48__Y2A.jpg,0.830136,23.524626,ok
EES0429210__X0F__Y1B.jpg,0.909943,30.747254,ok
EES0429210__X0F__Y2A.jpg,0.728964,21.966160,ok
EES0429210__X0F__Y2D.jpg,0.782101,25.707633,ok
EES0429210__X12__Y12.jpg,0.900278,31.057626,ok
EES0429210__X12__Y15.jpg,0.856155,28.512747,ok
EES0429210__X12__Y18.jpg,0.899020,29.544474,ok
EES0429210__X12__Y1B.jpg,0.762859,23.107108,ok
EES0429210__X12__Y1E.jpg,0.697467,21.329919,ok
EES0429210__X12__Y24.jpg,0.771000,22.665854,ok
EES0429210__X12__Y27.jpg,0.735886,22.114855,ok
EES0429210__X12__Y30.jpg,0.820128,24.195319,ok
EES0429210__X12__Y36.jpg,0.845306,23.065496,ok
EES0429210__X15__Y12.jpg,0.760840,23.396904,ok
EES0429210__X15__Y18.jpg,0.715975,21.660198,ok
EES0429210__X15__Y1B.jpg,0.731075,22.484369,ok
EES0429210__X15__Y21.jpg,0.733688,23.390892,ok
EES0429210__X15__Y27.jpg,0.681149,22.033831,ok
EES0429210__X15__Y30.jpg,0.691702,21.476130,ok
EES0429210__X15__Y33.jpg,0.856004,26.933726,ok
EES0429210__X15__Y36.jpg,0.750530,22.416050,ok
EES0429210__X18__Y0F.jpg,0.813230,23.573656,ok
EES0429210__X18__Y1E.jpg,0.725283,22.450647,ok
EES0429210__X18__Y21.jpg,0.705622,21.194227,ok
EES0429210__X18__Y33.jpg,0.767063,23.089181,ok
EES0429210__X18__Y36.jpg,0.859712,25.609352,ok
EES0429210__X18__Y39.jpg,0.919547,31.914749,ok
EES0429210__X1B__Y0C.jpg,0.783450,23.671039,ok
EES0429210__X1B__Y36.jpg,0.711891,21.391038,ok
EES0429210__X1B__Y39.jpg,0.755128,23.670874,ok
