filename,ssim,psnr,status
EES0429202__X0F__Y24.jpg,0.828137,17.531537,ok
EES0429202__X12__Y27.jpg,0.802931,16.205880,ok
EES0429202__X18__Y06.jpg,0.931983,20.268043,ok
EES0429202__X1B__Y06.jpg,0.789636,15.406389,ok
EES0429202__X1B__Y36.jpg,0.844048,16.999973,ok
EES0429202__X1E__Y06.jpg,0.817981,16.743013,ok
EES0429202__X1E__Y33.jpg,0.808465,16.846558,ok
EES0429202__X21__Y36.jpg,0.773131,15.287783,ok
EES0429202__X21__Y3C.jpg,0.822688,16.309850,ok
EES0429202__X2D__Y06.jpg,0.922188,20.203268,ok
EES0429202__X39__Y3C.jpg,0.926503,19.727870,ok
EES0429203__X0F__Y18.jpg,0.766170,16.566122,ok
EES0429203__X0F__Y21.jpg,0.701782,15.263289,ok
EES0429203__X0F__Y24.jpg,0.722840,16.197398,ok
EES0429203__X0F__Y27.jpg,0.705065,15.507690,ok
EES0429203__X15__Y36.jpg,0.798533,17.101092,ok
EES0429203__X1E__Y06.jpg,0.849736,17.138475,ok
EES0429203__X27__Y3F.jpg,0.831636,18.406684,ok
EES0429203__X33__Y3F.jpg,0.816284,16.228033,ok
EES0429203__X39__Y09.jpg,0.913506,19.172794,ok
EES0429203__X3C__Y0C.jpg,0.927596,20.274124,ok
EES0429203__X42__Y12.jpg,0.836022,16.820045,ok
EES0429203__X42__Y15.jpg,0.836639,17.315509,ok
EES0429203__X42__Y36.jpg,0.866772,18.151728,ok
EES0429203__X45__Y18.jpg,0.864813,18.202199,ok
EES0429203__X45__Y2A.jpg,0.812490,16.704030,ok
EES0429203__X45__Y2D.jpg,0.817290,16.589668,ok
EES0429203__X48__Y1E.jpg,0.902799,19.025362,ok
EES0429203__X48__Y21.jpg,0.872752,18.128062,ok
EES0429205__X18__Y1E.jpg,0.754893,14.980145,ok
EES0429205__X18__Y24.jpg,0.718893,14.162332,ok
EES0429205__X1B__Y1B.jpg,0.743303,14.253544,ok
EES0429205__X1E__Y21.jpg,0.775342,16.772120,ok
EES0429205__X21__Y09.jpg,0.816321,16.670128,ok
EES0429205__X2A__Y0C.jpg,0.877908,19.049502,ok
EES0429205__X2A__Y0F.jpg,0.783155,15.410346,ok
EES0429205__X2A__Y12.jpg,0.828229,17.722950,ok
EES0429205__X2D__Y0C.jpg,0.725709,13.657542,ok
EES0429205__X2D__Y0F.jpg,0.830292,18.098696,ok
