filename,ssim,psnr,status
EES0429202__X0F__Y24.jpg,0.857132,21.607230,ok
EES0429202__X12__Y27.jpg,0.822044,20.500993,ok
EES0429202__X18__Y06.jpg,0.961991,34.501480,ok
EES0429202__X1B__Y06.jpg,0.820747,22.225154,ok
EES0429202__X1B__Y36.jpg,0.879622,21.260976,ok
EES0429202__X1E__Y06.jpg,0.849014,20.877301,ok
EES0429202__X1E__Y33.jpg,0.814122,20.754813,ok
EES0429202__X21__Y36.jpg,0.741633,16.252238,ok
EES0429202__X21__Y3C.jpg,0.830451,21.145539,ok
EES0429202__X2D__Y06.jpg,0.928834,30.904301,ok
EES0429202__X39__Y3C.jpg,0.950977,32.531726,ok
EES0429203__X0F__Y18.jpg,0.702906,15.317530,ok
EES0429203__X0F__Y21.jpg,0.778314,21.096092,ok
EES0429203__X0F__Y24.jpg,0.645644,14.839154,ok
EES0429203__X0F__Y27.jpg,0.639431,14.599849,ok
EES0429203__X15__Y36.jpg,0.791341,20.783826,ok
EES0429203__X1E__Y06.jpg,0.873851,20.741764,ok
EES0429203__X27__Y3F.jpg,0.862547,21.684135,ok
EES0429203__X33__Y3F.jpg,0.815506,20.418002,ok
EES0429203__X39__Y09.jpg,0.951176,31.756767,ok
EES0429203__X3C__Y0C.jpg,0.951780,27.710231,ok
EES0429203__X42__Y12.jpg,0.834738,20.301030,ok
EES0429203__X42__Y15.jpg,0.832706,20.514466,ok
EES0429203__X42__Y36.jpg,0.886835,20.628250,ok
EES0429203__X45__Y18.jpg,0.882005,20.803357,ok
EES0429203__X45__Y2A.jpg,0.846418,20.408015,ok
EES0429203__X45__Y2D.jpg,0.842874,19.192799,ok
EES0429203__X48__Y1E.jpg,0.935597,24.073013,ok
EES0429203__X48__Y21.jpg,0.886495,21.083478,ok
EES0429205__X18__Y1E.jpg,0.769227,18.912771,ok
EES0429205__X18__Y24.jpg,0.712870,16.284718,ok
EES0429205__X1B__Y1B.jpg,0.792131,21.735819,ok
EES0429205__X1E__Y21.jpg,0.723888,15.799367,ok
EES0429205__X21__Y09.jpg,0.827077,20.400106,ok
EES0429205__X2A__Y0C.jpg,0.917019,22.067406,ok
EES0429205__X2A__Y0F.jpg,0.818043,21.290972,ok
EES0429205__X2A__Y12.jpg,0.866467,22.182432,ok
EES0429205__X2D__Y0C.jpg,0.694221,15.341744,ok
EES0429205__X2D__Y0F.jpg,0.865952,20.984225,ok
EES0429205__X30__Y1B.jpg,0.741195,15.987649,ok
EES0429205__X33__Y0F.jpg,0.755408,16.287671,ok
EES0429205__X33__Y21.jpg,0.720684,16.820908,ok
EES0429205__X36__Y27.jpg,0.745843,16.336044,ok
EES0429205__X39__Y18.jpg,0.709734,15.935874,ok
EES0429205__X39__Y24.jpg,0.704868,15.658249,ok
EES0429205__X3C__Y36.jpg,0.865290,21.827277,ok
EES0429205__X3F__Y36.jpg,0.768421,17.946360,ok
EES0429205__X42__Y36.jpg,0.807969,18.777196,ok
EES0429205__X48__Y1B.jpg,0.948869,24.895569,ok
EES0429206__X06__Y1E.jpg,0.915367,25.663881,ok
EES0429206__X06__Y21.jpg,0.876453,23.254524,ok
EES0429206__X06__Y24.jpg,0.952862,29.040324,ok
EES0429206__X06__Y27.jpg,0.936664,32.141588,ok
EES0429206__X09__Y18.jpg,0.871408,21.788674,ok
EES0429206__X09__Y1B.jpg,0.825721,21.750529,ok
EES0429206__X09__Y2A.jpg,0.675289,20.924332,ok
EES0429206__X09__Y2D.jpg,0.851182,21.389652,ok
EES0429206__X0C__Y12.jpg,0.887152,21.462603,ok
EES0429206__X0C__Y15.jpg,0.598179,18.188044,ok
EES0429206__X0C__Y18.jpg,0.733191,21.252526,ok
EES0429206__X0C__Y33.jpg,0.788253,20.839448,ok
EES0429206__X0F__Y0F.jpg,0.558678,14.404249,ok
EES0429206__X15__Y3C.jpg,0.824639,22.374685,ok
EES0429206__X1E__Y03.jpg,0.757567,20.104785,ok
EES0429206__X1E__Y3F.jpg,0.686999,19.721648,ok
EES0429206__X21__Y03.jpg,0.727453,15.657746,ok
EES0429206__X27__Y03.jpg,0.646476,16.587248,ok
EES0429206__X2A__Y03.jpg,0.843735,21.529121,ok
EES0429206__X2A__Y3F.jpg,0.666040,20.321013,ok
EES0429206__X2D__Y03.jpg,0.693989,15.654986,ok
EES0429206__X2D__Y3F.jpg,0.835499,21.541218,ok
EES0429206__X30__Y3F.jpg,0.847665,22.852827,ok
EES0429206__X33__Y3C.jpg,0.721100,22.631120,ok
EES0429206__X36__Y09.jpg,0.564859,15.165295,ok
EES0429206__X36__Y3C.jpg,0.721900,18.892144,ok
EES0429206__X39__Y0C.jpg,0.641647,17.770216,ok
EES0429206__X39__Y39.jpg,0.860399,22.052221,ok
EES0429206__X3C__Y0C.jpg,0.887002,21.736434,ok
EES0429206__X3C__Y0F.jpg,0.726434,19.711636,ok
EES0429206__X3C__Y33.jpg,0.674468,14.541431,ok
EES0429206__X3C__Y36.jpg,0.941805,26.202328,ok
EES0429206__X3F__Y0F.jpg,0.778742,20.070325,ok
EES0429206__X3F__Y12.jpg,0.740907,22.037011,ok
EES0429206__X3F__Y2D.jpg,0.715382,20.378889,ok
EES0429206__X3F__Y30.jpg,0.813576,23.586352,ok
EES0429206__X42__Y0F.jpg,0.840239,19.351511,ok
EES0429206__X42__Y15.jpg,0.953393,33.571785,ok
EES0429206__X42__Y18.jpg,0.893900,21.646265,ok
EES0429206__X42__Y1B.jpg,0.674045,15.001751,ok
EES0429206__X42__Y1E.jpg,0.642589,15.467648,ok
EES0429206__X42__Y21.jpg,0.666645,14.203171,ok
EES0429206__X42__Y24.jpg,0.807898,23.681173,ok
EES0429206__X42__Y27.jpg,0.822934,21.498200,ok
EES0429206__X42__Y2A.jpg,0.832578,23.277255,ok
EES0429206__X45__Y18.jpg,0.678407,19.317202,ok
EES0429207__X0F__Y24.jpg,0.757538,17.716108,ok
EES0429207__X1E__Y3C.jpg,0.754621,20.066576,ok
EES0429207__X21__Y0C.jpg,0.736432,17.916681,ok
EES0429207__X2A__Y2D.jpg,0.814908,22.046417,ok
EES0429207__X33__Y09.jpg,0.821936,20.896685,ok
EES0429207__X36__Y3F.jpg,0.744527,15.215816,ok
EES0429207__X39__Y1B.jpg,0.671310,15.200290,ok
EES0429207__X3C__Y0F.jpg,0.940505,25.155785,ok
EES0429207__X3F__Y12.jpg,0.921861,22.520528,ok
EES0429208__X12__Y1B.jpg,0.700331,15.725964,ok
EES0429208__X15__Y18.jpg,0.581790,13.940301,ok
EES0429208__X15__Y1B.jpg,0.636148,15.970073,ok
EES0429208__X15__Y2D.jpg,0.619104,15.498336,ok
EES0429208__X18__Y21.jpg,0.679349,15.008107,ok
EES0429208__X18__Y24.jpg,0.698947,14.980084,ok
EES0429208__X18__Y33.jpg,0.742082,16.780214,ok
EES0429208__X1B__Y21.jpg,0.604644,15.299230,ok
EES0429208__X1B__Y24.jpg,0.590122,15.023374,ok
EES0429208__X1B__Y27.jpg,0.583842,16.173177,ok
EES0429208__X1E__Y12.jpg,0.530327,13.661153,ok
EES0429208__X1E__Y24.jpg,0.687300,15.734577,ok
EES0429208__X1E__Y39.jpg,0.516026,14.122893,ok
EES0429208__X1E__Y3C.jpg,0.664128,13.797384,ok
EES0429208__X21__Y33.jpg,0.611271,14.654640,ok
EES0429208__X21__Y39.jpg,0.679325,16.036349,ok
EES0429208__X24__Y3F.jpg,0.683921,14.548682,ok
EES0429208__X27__Y09.jpg,0.623732,15.442286,ok
EES0429208__X27__Y39.jpg,0.605222,14.855405,ok
EES0429208__X27__Y3F.jpg,0.635182,15.855283,ok
EES0429208__X2A__Y18.jpg,0.546993,15.309255,ok
EES0429208__X2A__Y3C.jpg,0.625159,15.782628,ok
EES0429208__X30__Y09.jpg,0.899323,21.549591,ok
EES0429208__X30__Y12.jpg,0.702912,15.947249,ok
EES0429208__X30__Y3F.jpg,0.695804,15.447197,ok
EES0429208__X33__Y33.jpg,0.563956,14.366095,ok
EES0429208__X33__Y3C.jpg,0.659753,16.075576,ok
EES0429208__X3C__Y1E.jpg,0.701011,15.217502,ok
EES0429208__X3C__Y27.jpg,0.666344,16.274166,ok
EES0429208__X3C__Y30.jpg,0.540919,15.447396,ok
EES0429208__X3F__Y2A.jpg,0.629164,15.257818,ok
EES0429208__X42__Y21.jpg,0.696802,14.954550,ok
EES0429208__X45__Y21.jpg,0.732235,17.062792,ok
EES0429209__X0F__Y1B.jpg,0.813593,21.066492,ok
EES0429209__X0F__Y1E.jpg,0.906257,23.534229,ok
EES0429209__X0F__Y21.jpg,0.870495,20.317617,ok
EES0429209__X0F__Y24.jpg,0.628854,16.198464,ok
EES0429209__X0F__Y27.jpg,0.923591,22.887125,ok
EES0429209__X0F__Y2A.jpg,0.845778,23.017655,ok
EES0429209__X12__Y12.jpg,0.932493,24.477996,ok
EES0429209__X12__Y15.jpg,0.942818,24.609408,ok
EES0429209__X12__Y18.jpg,0.834961,22.787969,ok
EES0429209__X12__Y1B.jpg,0.744205,21.187041,ok
EES0429209__X12__Y1E.jpg,0.759669,22.382285,ok
EES0429209__X12__Y21.jpg,0.663604,19.379022,ok
EES0429209__X12__Y24.jpg,0.774631,22.153667,ok
EES0429209__X12__Y27.jpg,0.799105,21.320467,ok
EES0429209__X12__Y2A.jpg,0.806159,22.283539,ok
EES0429209__X12__Y2D.jpg,0.646101,14.819092,ok
EES0429209__X12__Y30.jpg,0.686545,16.423852,ok
EES0429209__X12__Y33.jpg,0.943418,28.022068,ok
EES0429209__X15__Y0F.jpg,0.670760,14.329171,ok
EES0429209__X15__Y12.jpg,0.572216,16.648678,ok
EES0429209__X15__Y33.jpg,0.844560,22.115140,ok
EES0429209__X18__Y0C.jpg,0.883573,21.936286,ok
EES0429209__X18__Y36.jpg,0.842337,23.673122,ok
EES0429209__X18__Y39.jpg,0.890346,23.584526,ok
EES0429209__X18__Y42.jpg,0.933129,25.623004,ok
EES0429209__X18__Y45.jpg,0.434450,9.355859,ok
EES0429209__X1B__Y39.jpg,0.742061,21.641048,ok
EES0429209__X1B__Y42.jpg,0.605686,13.362724,ok
EES0429209__X1E__Y09.jpg,0.638904,16.429025,ok
EES0429209__X1E__Y3C.jpg,0.746430,17.560745,ok
EES0429209__X1E__Y42.jpg,0.940446,26.721808,ok
EES0429209__X21__Y3C.jpg,0.841114,21.393468,ok
EES0429209__X21__Y42.jpg,0.816793,21.662035,ok
EES0429209__X24__Y06.jpg,0.863651,20.920865,ok
EES0429209__X24__Y3F.jpg,0.901837,22.985735,ok
EES0429209__X27__Y06.jpg,0.876269,19.072274,ok
EES0429209__X2A__Y06.jpg,0.736512,18.042878,ok
EES0429209__X2D__Y06.jpg,0.821677,22.930600,ok
EES0429209__X30__Y06.jpg,0.821259,22.647006,ok
EES0429209__X33__Y3F.jpg,0.791400,21.109032,ok
EES0429209__X36__Y03.jpg,0.926757,24.364697,ok
EES0429209__X36__Y09.jpg,0.515129,14.158431,ok
EES0429209__X39__Y09.jpg,0.711904,13.914762,ok
EES0429209__X39__Y3C.jpg,0.797237,22.212376,ok
EES0429209__X42__Y12.jpg,0.661969,15.434013,ok
EES0429209__X45__Y15.jpg,0.891210,22.716117,ok
EES0429209__X45__Y30.jpg,0.673481,17.772202,ok
EES0429209__X45__Y45.jpg,0.885225,19.825777,ok
EES0429209__X48__Y18.jpg,0.927867,24.869659,ok
EES0429209__X48__Y1B.jpg,0.887936,22.253114,ok
EES0429209__X48__Y1E.jpg,0.952680,27.125239,ok
EES0429209__X48__Y21.jpg,0.705106,14.917767,ok
EES0429209__X48__Y24.jpg,0.501808,13.690707,ok
EES0429209__X48__Y27.jpg,0.636384,16.238956,ok
EES0429209__X48__Y2A.jpg,0.797474,19.083019,ok
EES0429210__X0F__Y1B.jpg,0.918983,26.188638,ok
EES0429210__X0F__Y2A.jpg,0.550363,16.055629,ok
EES0429210__X0F__Y2D.jpg,0.596019,15.880395,ok
EES0429210__X12__Y12.jpg,0.921599,25.892989,ok
EES0429210__X12__Y15.jpg,0.861149,22.860206,ok
EES0429210__X12__Y18.jpg,0.902903,24.267468,ok
EES0429210__X12__Y1B.jpg,0.671974,19.915597,ok
EES0429210__X12__Y1E.jpg,0.542626,15.426710,ok
EES0429210__X12__Y24.jpg,0.718497,21.098016,ok
EES0429210__X12__Y27.jpg,0.620673,18.520408,ok
EES0429210__X12__Y30.jpg,0.803052,22.798114,ok
EES0429210__X12__Y36.jpg,0.834698,20.781425,ok
EES0429210__X15__Y12.jpg,0.601056,15.443667,ok
EES0429210__X15__Y18.jpg,0.506038,15.196716,ok
EES0429210__X15__Y1B.jpg,0.529315,14.730732,ok
