filename,ssim,psnr,status
EES0429217__X15__Y12.jpg,0.882309,23.830811,ok
EES0429217__X15__Y15.jpg,0.882342,24.058893,ok
EES0429217__X15__Y18.jpg,0.806647,22.145941,ok
EES0429217__X15__Y1E.jpg,0.877057,23.148575,ok
EES0429217__X18__Y0F.jpg,0.874904,22.780006,ok
EES0429217__X18__Y1B.jpg,0.854200,22.854405,ok
EES0429217__X18__Y21.jpg,0.801193,22.264089,ok
EES0429217__X1B__Y0C.jpg,0.886810,23.123794,ok
EES0429217__X1B__Y1B.jpg,0.811148,22.255097,ok
EES0429217__X1B__Y1E.jpg,0.717731,21.305096,ok
EES0429217__X21__Y06.jpg,0.963857,27.006162,ok
EES0429217__X21__Y1B.jpg,0.833361,23.609686,ok
EES0429217__X24__Y0F.jpg,0.778563,21.932539,ok
EES0429217__X24__Y2D.jpg,0.808261,22.594846,ok
EES0429217__X27__Y06.jpg,0.764447,22.304793,ok
EES0429217__X2A__Y42.jpg,0.931006,25.549391,ok
EES0429217__X30__Y15.jpg,0.796935,22.272387,ok
EES0429217__X30__Y2D.jpg,0.788863,22.049782,ok
EES0429217__X33__Y06.jpg,0.959608,25.415733,ok
EES0429217__X33__Y3F.jpg,0.914482,24.652830,ok
EES0429217__X39__Y21.jpg,0.771141,22.205456,ok
EES0429217__X39__Y3C.jpg,0.875983,23.497365,ok
EES0429217__X3C__Y09.jpg,0.935852,23.925554,ok
EES0429217__X3C__Y0C.jpg,0.812935,22.672418,ok
EES0429217__X3C__Y1B.jpg,0.774065,22.117552,ok
EES0429217__X3C__Y21.jpg,0.800148,22.722741,ok
EES0429217__X3C__Y39.jpg,0.855648,23.101638,ok
EES0429217__X3F__Y0C.jpg,0.958995,24.917444,ok
EES0429217__X3F__Y1B.jpg,0.871249,23.780243,ok
EES0429217__X3F__Y36.jpg,0.827518,23.101549,ok
EES0429217__X3F__Y39.jpg,0.950087,25.675503,ok
EES0429217__X42__Y1B.jpg,0.818132,22.192213,ok
EES0429217__X42__Y33.jpg,0.811497,22.497918,ok
EES0429217__X45__Y15.jpg,0.924010,23.224210,ok
EES0429217__X45__Y2D.jpg,0.833345,22.321781,ok
EES0429217__X45__Y30.jpg,0.909108,24.423057,ok
EES0429217__X48__Y1B.jpg,0.971603,26.351819,ok
EES0429217__X48__Y1E.jpg,0.934804,24.247487,ok
EES0429217__X48__Y21.jpg,0.934740,24.599069,ok
EES0429217__X48__Y24.jpg,0.896219,24.247274,ok
EES0429217__X48__Y27.jpg,0.930548,25.158855,ok
EES0429217__X48__Y2A.jpg,0.905408,23.976834,ok
EES0429220__X0F__Y1E.jpg,0.833407,23.669664,ok
EES0429220__X0F__Y2A.jpg,0.818138,22.585781,ok
EES0429220__X0F__Y2D.jpg,0.891477,26.853863,ok
EES0429220__X12__Y18.jpg,0.828152,24.816038,ok
EES0429220__X12__Y27.jpg,0.727681,22.836695,ok
EES0429220__X12__Y2A.jpg,0.800473,23.193759,ok
EES0429220__X12__Y2D.jpg,0.792944,23.568919,ok
EES0429220__X12__Y30.jpg,0.802120,26.130629,ok
EES0429220__X12__Y33.jpg,0.804230,22.593633,ok
EES0429220__X12__Y36.jpg,0.934676,32.855544,ok
EES0429220__X15__Y27.jpg,0.707823,22.184624,ok
EES0429220__X15__Y2A.jpg,0.702748,22.754065,ok
EES0429220__X15__Y30.jpg,0.744541,22.189403,ok
EES0429220__X15__Y33.jpg,0.763819,23.168823,ok
EES0429220__X15__Y36.jpg,0.869150,28.282785,ok
EES0429220__X18__Y0C.jpg,0.872132,28.361816,ok
EES0429220__X18__Y36.jpg,0.748006,23.426458,ok
EES0429220__X18__Y39.jpg,0.754020,23.544142,ok
EES0429220__X1B__Y09.jpg,0.933689,36.641361,ok
EES0429220__X1B__Y0C.jpg,0.763473,22.726404,ok
EES0429220__X1B__Y1B.jpg,0.715240,23.814887,ok
EES0429220__X1B__Y21.jpg,0.647928,21.063119,ok
EES0429220__X1B__Y39.jpg,0.836261,24.553648,ok
EES0429220__X1B__Y3C.jpg,0.817154,25.372800,ok
EES0429220__X1E__Y09.jpg,0.843251,23.163619,ok
EES0429220__X1E__Y18.jpg,0.711979,23.910091,ok
EES0429220__X1E__Y1B.jpg,0.707497,21.812975,ok
EES0429220__X1E__Y1E.jpg,0.699175,22.109658,ok
EES0429220__X1E__Y21.jpg,0.718729,23.548977,ok
EES0429220__X1E__Y24.jpg,0.750724,22.833402,ok
EES0429220__X1E__Y3C.jpg,0.735911,23.166484,ok
EES0429220__X1E__Y3F.jpg,0.849968,27.496519,ok
EES0429220__X21__Y12.jpg,0.661922,20.819088,ok
EES0429220__X21__Y15.jpg,0.740314,23.542584,ok
EES0429220__X21__Y3F.jpg,0.724988,22.915985,ok
EES0429220__X24__Y06.jpg,0.875030,24.821384,ok
EES0429220__X24__Y15.jpg,0.680496,21.865660,ok
EES0429220__X24__Y18.jpg,0.689586,22.828854,ok
EES0429220__X24__Y42.jpg,0.908289,27.388934,ok
EES0429220__X27__Y06.jpg,0.947429,33.234415,ok
EES0429220__X2A__Y06.jpg,0.904929,26.301891,ok
EES0429220__X2A__Y42.jpg,0.839068,22.872711,ok
EES0429220__X2D__Y06.jpg,0.876052,24.192063,ok
EES0429220__X2D__Y42.jpg,0.859604,26.443946,ok
EES0429220__X30__Y06.jpg,0.868770,25.671630,ok
EES0429220__X30__Y42.jpg,0.902420,28.130687,ok
EES0429220__X36__Y09.jpg,0.934002,34.625999,ok
EES0429220__X39__Y0C.jpg,0.790014,22.484900,ok
EES0429220__X39__Y1E.jpg,0.753259,23.154861,ok
EES0429220__X3C__Y3C.jpg,0.928703,33.379015,ok
EES0429220__X3F__Y12.jpg,0.837597,22.700943,ok
EES0429220__X3F__Y39.jpg,0.871013,22.856958,ok
EES0429220__X42__Y15.jpg,0.866152,24.959325,ok
EES0429220__X45__Y1B.jpg,0.952832,31.169653,ok
EES0429220__X45__Y1E.jpg,0.849144,25.268447,ok
EES0429220__X45__Y27.jpg,0.801935,22.928868,ok
EES0429220__X45__Y2A.jpg,0.838395,24.518619,ok
EES0429220__X45__Y2D.jpg,0.860320,24.234021,ok
EES0429220__X45__Y30.jpg,0.895850,25.308604,ok
EES0429222__X09__Y1E.jpg,0.914689,30.182102,ok
EES0429222__X09__Y21.jpg,0.871315,24.809134,ok
EES0429222__X09__Y2A.jpg,0.851033,24.990863,ok
EES0429222__X09__Y2D.jpg,0.808251,22.483838,ok
EES0429222__X0C__Y21.jpg,0.782574,24.281911,ok
EES0429222__X0C__Y24.jpg,0.862152,28.065700,ok
EES0429222__X0C__Y27.jpg,0.849663,23.192249,ok
EES0429222__X0C__Y2A.jpg,0.842773,23.364111,ok
EES0429222__X0C__Y30.jpg,0.908089,28.053852,ok
EES0429222__X0F__Y12.jpg,0.803153,22.245331,ok
EES0429222__X0F__Y15.jpg,0.870596,23.795974,ok
EES0429222__X0F__Y18.jpg,0.822878,23.688964,ok
EES0429222__X0F__Y2D.jpg,0.856894,22.931344,ok
EES0429222__X0F__Y33.jpg,0.830158,22.975011,ok
EES0429222__X0F__Y36.jpg,0.824975,25.997288,ok
EES0429222__X0F__Y39.jpg,0.897406,25.895084,ok
EES0429222__X12__Y0F.jpg,0.774774,25.514554,ok
EES0429222__X12__Y12.jpg,0.768066,22.957013,ok
