filename,ssim,psnr,status
EES0429202__X0F__Y24.jpg,0.851989,23.467965,ok
EES0429202__X12__Y27.jpg,0.850075,22.705037,ok
EES0429202__X18__Y06.jpg,0.940373,35.445447,ok
EES0429202__X1B__Y06.jpg,0.862362,23.658450,ok
EES0429202__X1B__Y36.jpg,0.879521,23.582070,ok
EES0429202__X1E__Y06.jpg,0.869327,23.802867,ok
EES0429202__X1E__Y33.jpg,0.842732,23.342055,ok
EES0429202__X21__Y36.jpg,0.828525,22.636009,ok
EES0429202__X21__Y3C.jpg,0.859174,22.853133,ok
EES0429202__X2D__Y06.jpg,0.922456,31.775095,ok
EES0429202__X39__Y3C.jpg,0.927565,31.804142,ok
EES0429203__X0F__Y18.jpg,0.837414,23.789584,ok
EES0429203__X0F__Y21.jpg,0.837715,25.242641,ok
EES0429203__X0F__Y24.jpg,0.844604,24.252633,ok
EES0429203__X0F__Y27.jpg,0.810495,22.278572,ok
EES0429203__X15__Y36.jpg,0.839279,23.385571,ok
EES0429203__X1E__Y06.jpg,0.882325,23.053224,ok
EES0429203__X27__Y3F.jpg,0.865690,25.573692,ok
EES0429203__X33__Y3F.jpg,0.863058,22.982236,ok
EES0429203__X39__Y09.jpg,0.926936,29.644754,ok
EES0429203__X3C__Y0C.jpg,0.929237,27.355077,ok
EES0429203__X42__Y12.jpg,0.880375,22.886820,ok
EES0429203__X42__Y15.jpg,0.870035,24.045014,ok
EES0429203__X42__Y36.jpg,0.897042,23.868576,ok
EES0429203__X45__Y18.jpg,0.884746,24.287122,ok
EES0429203__X45__Y2A.jpg,0.864168,24.014360,ok
EES0429203__X45__Y2D.jpg,0.861818,22.640115,ok
EES0429203__X48__Y1E.jpg,0.917934,24.649059,ok
EES0429203__X48__Y21.jpg,0.909552,23.240508,ok
EES0429205__X18__Y1E.jpg,0.821827,22.972011,ok
EES0429205__X18__Y24.jpg,0.810341,22.641821,ok
EES0429205__X1B__Y1B.jpg,0.805618,22.508994,ok
EES0429205__X1E__Y21.jpg,0.826203,22.377601,ok
EES0429205__X21__Y09.jpg,0.868063,24.181161,ok
EES0429205__X2A__Y0C.jpg,0.907871,27.659593,ok
EES0429205__X2A__Y0F.jpg,0.860167,22.943936,ok
EES0429205__X2A__Y12.jpg,0.873443,22.871834,ok
EES0429205__X2D__Y0C.jpg,0.813718,22.529570,ok
EES0429205__X2D__Y0F.jpg,0.878577,23.758779,ok
EES0429205__X30__Y1B.jpg,0.833889,22.537057,ok
EES0429205__X33__Y0F.jpg,0.832634,23.063496,ok
EES0429205__X33__Y21.jpg,0.803791,22.639582,ok
EES0429205__X36__Y27.jpg,0.816638,22.196497,ok
EES0429205__X39__Y18.jpg,0.793903,22.292621,ok
EES0429205__X39__Y24.jpg,0.813322,22.785843,ok
EES0429205__X3C__Y36.jpg,0.879188,22.889430,ok
EES0429205__X3F__Y36.jpg,0.844094,22.883398,ok
EES0429205__X42__Y36.jpg,0.862055,23.502995,ok
EES0429205__X48__Y1B.jpg,0.916284,24.551275,ok
EES0429206__X06__Y1E.jpg,0.903931,28.713938,ok
EES0429206__X06__Y21.jpg,0.874782,25.431644,ok
EES0429206__X06__Y24.jpg,0.937656,32.319884,ok
EES0429206__X06__Y27.jpg,0.930244,36.287490,ok
EES0429206__X09__Y18.jpg,0.866748,25.143142,ok
EES0429206__X09__Y1B.jpg,0.837943,25.656890,ok
EES0429206__X09__Y2A.jpg,0.755746,22.415525,ok
EES0429206__X09__Y2D.jpg,0.847392,26.092306,ok
EES0429206__X0C__Y12.jpg,0.880577,26.694836,ok
EES0429206__X0C__Y15.jpg,0.742279,23.288234,ok
EES0429206__X0C__Y18.jpg,0.812388,25.716510,ok
EES0429206__X0C__Y33.jpg,0.826824,23.461018,ok
EES0429206__X0F__Y0F.jpg,0.737019,22.995121,ok
EES0429206__X15__Y3C.jpg,0.858497,27.252538,ok
EES0429206__X1E__Y03.jpg,0.842070,27.294105,ok
EES0429206__X1E__Y3F.jpg,0.798256,24.784963,ok
EES0429206__X21__Y03.jpg,0.849544,27.014899,ok
EES0429206__X27__Y03.jpg,0.801514,22.566229,ok
EES0429206__X2A__Y03.jpg,0.890180,24.467626,ok
EES0429206__X2A__Y3F.jpg,0.809610,24.022077,ok
EES0429206__X2D__Y03.jpg,0.817835,22.318774,ok
EES0429206__X2D__Y3F.jpg,0.888776,26.910224,ok
EES0429206__X30__Y3F.jpg,0.907200,31.198120,ok
EES0429206__X33__Y3C.jpg,0.793989,23.783212,ok
EES0429206__X36__Y09.jpg,0.818228,22.944935,ok
EES0429206__X36__Y3C.jpg,0.812246,23.229270,ok
EES0429206__X39__Y0C.jpg,0.818709,23.262421,ok
EES0429206__X39__Y39.jpg,0.890272,29.189343,ok
EES0429206__X3C__Y0C.jpg,0.884581,26.951346,ok
EES0429206__X3C__Y0F.jpg,0.813715,25.445354,ok
EES0429206__X3C__Y33.jpg,0.808415,24.900188,ok
EES0429206__X3C__Y36.jpg,0.922095,30.166196,ok
EES0429206__X3F__Y0F.jpg,0.844190,25.163988,ok
EES0429206__X3F__Y12.jpg,0.840793,24.488244,ok
EES0429206__X3F__Y2D.jpg,0.792155,22.354437,ok
EES0429206__X3F__Y30.jpg,0.855750,28.565255,ok
EES0429206__X42__Y0F.jpg,0.849180,23.703610,ok
EES0429206__X42__Y15.jpg,0.937753,32.601015,ok
EES0429206__X42__Y18.jpg,0.907818,26.239270,ok
EES0429206__X42__Y1B.jpg,0.847103,26.358931,ok
EES0429206__X42__Y1E.jpg,0.831646,24.030448,ok
EES0429206__X42__Y21.jpg,0.854551,24.918931,ok
EES0429206__X42__Y24.jpg,0.871640,25.535112,ok
EES0429206__X42__Y27.jpg,0.864034,25.579357,ok
EES0429206__X42__Y2A.jpg,0.869449,28.782173,ok
EES0429206__X45__Y18.jpg,0.824455,22.556487,ok
EES0429207__X0F__Y24.jpg,0.823019,22.772234,ok
EES0429207__X1E__Y3C.jpg,0.792240,22.161134,ok
EES0429207__X21__Y0C.jpg,0.788909,21.926147,ok
EES0429207__X2A__Y2D.jpg,0.851148,24.248068,ok
EES0429207__X33__Y09.jpg,0.858497,24.522621,ok
EES0429207__X36__Y3F.jpg,0.860098,22.674022,ok
EES0429207__X39__Y1B.jpg,0.770454,21.826080,ok
EES0429207__X3C__Y0F.jpg,0.922662,30.114569,ok
EES0429207__X3F__Y12.jpg,0.906366,29.411289,ok
EES0429208__X12__Y1B.jpg,0.806524,24.231028,ok
EES0429208__X15__Y18.jpg,0.714392,21.733000,ok
EES0429208__X15__Y1B.jpg,0.734320,22.313484,ok
EES0429208__X15__Y2D.jpg,0.719787,22.085836,ok
EES0429208__X18__Y21.jpg,0.800550,23.762672,ok
EES0429208__X18__Y24.jpg,0.810237,22.937854,ok
EES0429208__X18__Y33.jpg,0.798539,22.928286,ok
EES0429208__X1B__Y21.jpg,0.729053,22.269570,ok
EES0429208__X1B__Y24.jpg,0.727514,21.538075,ok
EES0429208__X1B__Y27.jpg,0.725132,21.679497,ok
EES0429208__X1E__Y12.jpg,0.680316,21.030324,ok
EES0429208__X1E__Y24.jpg,0.783154,22.596982,ok
EES0429208__X1E__Y39.jpg,0.666918,20.857851,ok
EES0429208__X1E__Y3C.jpg,0.800651,23.930452,ok
EES0429208__X21__Y33.jpg,0.751502,23.567257,ok
EES0429208__X21__Y39.jpg,0.772351,23.790918,ok
EES0429208__X24__Y3F.jpg,0.848264,24.009215,ok
EES0429208__X27__Y09.jpg,0.778018,23.214205,ok
EES0429208__X27__Y39.jpg,0.721371,22.300409,ok
EES0429208__X27__Y3F.jpg,0.785714,22.376042,ok
EES0429208__X2A__Y18.jpg,0.663672,20.883004,ok
EES0429208__X2A__Y3C.jpg,0.750783,22.546959,ok
EES0429208__X30__Y09.jpg,0.903796,27.511997,ok
EES0429208__X30__Y12.jpg,0.802833,23.054583,ok
EES0429208__X30__Y3F.jpg,0.801517,23.187537,ok
EES0429208__X33__Y33.jpg,0.715378,22.321073,ok
EES0429208__X33__Y3C.jpg,0.762171,22.384654,ok
EES0429208__X3C__Y1E.jpg,0.817672,23.813498,ok
EES0429208__X3C__Y27.jpg,0.793873,22.399221,ok
EES0429208__X3C__Y30.jpg,0.751411,23.621246,ok
EES0429208__X3F__Y2A.jpg,0.775792,23.077458,ok
EES0429208__X42__Y21.jpg,0.825386,24.454237,ok
EES0429208__X45__Y21.jpg,0.837812,22.352145,ok
EES0429209__X0F__Y1B.jpg,0.844594,24.850223,ok
EES0429209__X0F__Y1E.jpg,0.896995,25.858626,ok
EES0429209__X0F__Y21.jpg,0.870934,23.848459,ok
EES0429209__X0F__Y24.jpg,0.831997,23.463449,ok
EES0429209__X0F__Y27.jpg,0.924547,27.881146,ok
EES0429209__X0F__Y2A.jpg,0.867880,28.117266,ok
EES0429209__X12__Y12.jpg,0.912136,29.752970,ok
EES0429209__X12__Y15.jpg,0.930256,33.251377,ok
EES0429209__X12__Y18.jpg,0.865756,27.007433,ok
EES0429209__X12__Y1B.jpg,0.815583,24.908133,ok
EES0429209__X12__Y1E.jpg,0.821401,24.383714,ok
EES0429209__X12__Y21.jpg,0.782538,22.261206,ok
EES0429209__X12__Y24.jpg,0.830478,24.242900,ok
EES0429209__X12__Y27.jpg,0.856214,23.450850,ok
EES0429209__X12__Y2A.jpg,0.836664,25.998944,ok
EES0429209__X12__Y2D.jpg,0.782582,23.979108,ok
EES0429209__X12__Y30.jpg,0.795120,22.721428,ok
EES0429209__X12__Y33.jpg,0.925850,29.659935,ok
EES0429209__X15__Y0F.jpg,0.841420,26.431878,ok
EES0429209__X15__Y12.jpg,0.719527,22.388524,ok
EES0429209__X15__Y33.jpg,0.878898,31.153291,ok
EES0429209__X18__Y0C.jpg,0.902711,28.007720,ok
EES0429209__X18__Y36.jpg,0.876708,27.367797,ok
EES0429209__X18__Y39.jpg,0.892257,28.106456,ok
EES0429209__X18__Y42.jpg,0.915302,26.633944,ok
EES0429209__X18__Y45.jpg,0.927169,37.666950,ok
EES0429209__X1B__Y39.jpg,0.787598,23.090190,ok
EES0429209__X1B__Y42.jpg,0.948457,31.846655,ok
EES0429209__X1E__Y09.jpg,0.816018,22.883332,ok
EES0429209__X1E__Y3C.jpg,0.821232,25.075300,ok
EES0429209__X1E__Y42.jpg,0.924077,28.052548,ok
EES0429209__X21__Y3C.jpg,0.851065,27.024728,ok
EES0429209__X21__Y42.jpg,0.878817,25.099042,ok
EES0429209__X24__Y06.jpg,0.884520,25.829422,ok
EES0429209__X24__Y3F.jpg,0.909814,29.076284,ok
EES0429209__X27__Y06.jpg,0.908507,30.513213,ok
EES0429209__X2A__Y06.jpg,0.859713,24.972794,ok
EES0429209__X2D__Y06.jpg,0.857320,24.610965,ok
EES0429209__X30__Y06.jpg,0.873055,25.959207,ok
EES0429209__X33__Y3F.jpg,0.814821,23.004738,ok
EES0429209__X36__Y03.jpg,0.923424,28.511511,ok
EES0429209__X36__Y09.jpg,0.728769,22.318410,ok
EES0429209__X39__Y09.jpg,0.880758,30.104513,ok
EES0429209__X39__Y3C.jpg,0.833183,22.838965,ok
EES0429209__X42__Y12.jpg,0.801871,23.841678,ok
EES0429209__X45__Y15.jpg,0.899309,29.714573,ok
EES0429209__X45__Y30.jpg,0.799923,25.170058,ok
EES0429209__X45__Y45.jpg,0.888409,23.983323,ok
EES0429209__X48__Y18.jpg,0.920786,27.214517,ok
EES0429209__X48__Y1B.jpg,0.907355,29.540656,ok
EES0429209__X48__Y1E.jpg,0.933914,29.510078,ok
EES0429209__X48__Y21.jpg,0.833041,25.724223,ok
EES0429209__X48__Y24.jpg,0.733085,21.763925,ok
EES0429209__X48__Y27.jpg,0.823921,24.616011,ok
EES0429209__X48__Y2A.jpg,0.830136,23.524626,ok
EES0429210__X0F__Y1B.jpg,0.909943,30.747254,ok
EES0429210__X0F__Y2A.jpg,0.728964,21.966160,ok
EES0429210__X0F__Y2D.jpg,0.782101,25.707633,ok
EES0429210__X12__Y12.jpg,0.900278,31.057626,ok
EES0429210__X12__Y15.jpg,0.856155,28.512747,ok
EES0429210__X12__Y18.jpg,0.899020,29.544474,ok
EES0429210__X12__Y1B.jpg,0.762859,23.107108,ok
EES0429210__X12__Y1E.jpg,0.697467,21.329919,ok
EES0429210__X12__Y24.jpg,0.771000,22.665854,ok
EES0429210__X12__Y27.jpg,0.735886,22.114855,ok
EES0429210__X12__Y30.jpg,0.820128,24.195319,ok
EES0429210__X12__Y36.jpg,0.845306,23.065496,ok
EES0429210__X15__Y12.jpg,0.760840,23.396904,ok
EES0429210__X15__Y18.jpg,0.715975,21.660198,ok
EES0429210__X15__Y1B.jpg,0.731075,22.484369,ok
EES0429210__X15__Y21.jpg,0.733688,23.390892,ok
EES0429210__X15__Y27.jpg,0.681149,22.033831,ok
EES0429210__X15__Y30.jpg,0.691702,21.476130,ok
EES0429210__X15__Y33.jpg,0.856004,26.933726,ok
EES0429210__X15__Y36.jpg,0.750530,22.416050,ok
EES0429210__X18__Y0F.jpg,0.813230,23.573656,ok
EES0429210__X18__Y1E.jpg,0.725283,22.450647,ok
EES0429210__X18__Y21.jpg,0.705622,21.194227,ok
EES0429210__X18__Y33.jpg,0.767063,23.089181,ok
EES0429210__X18__Y36.jpg,0.859712,25.609352,ok
EES0429210__X18__Y39.jpg,0.919547,31.914749,ok
EES0429210__X1B__Y0C.jpg,0.783450,23.671039,ok
EES0429210__X1B__Y36.jpg,0.711891,21.391038,ok
EES0429210__X1B__Y39.jpg,0.755128,23.670874,ok
EES0429210__X1E__Y09.jpg,0.887231,25.136457,ok
EES0429210__X1E__Y33.jpg,0.670145,21.139886,ok
EES0429210__X1E__Y3C.jpg,0.847491,26.456224,ok
EES0429210__X21__Y3C.jpg,0.741627,22.994706,ok
EES0429210__X24__Y3F.jpg,0.939445,33.759522,ok
EES0429210__X27__Y3F.jpg,0.851150,23.925038,ok
EES0429210__X2A__Y09.jpg,0.753680,21.718318,ok
EES0429210__X2A__Y3F.jpg,0.777948,22.821232,ok
EES0429210__X2D__Y3C.jpg,0.809869,25.533619,ok
EES0429210__X2D__Y3F.jpg,0.774753,22.355165,ok
EES0429210__X30__Y09.jpg,0.936302,36.179965,ok
EES0429210__X30__Y3C.jpg,0.788355,24.384820,ok
EES0429210__X36__Y33.jpg,0.786124,23.060675,ok
EES0429210__X36__Y36.jpg,0.810401,22.585515,ok
EES0429210__X36__Y39.jpg,0.854395,26.356161,ok
EES0429210__X39__Y36.jpg,0.852146,25.593739,ok
EES0429210__X39__Y39.jpg,0.829518,25.275674,ok
EES0429210__X3C__Y2A.jpg,0.802499,22.146593,ok
EES0429210__X3F__Y30.jpg,0.894995,26.819884,ok
EES0429210__X42__Y21.jpg,0.812875,23.120499,ok
EES0429210__X42__Y2A.jpg,0.880041,27.643834,ok
EES0429211__X0C__Y12.jpg,0.919308,27.495379,ok
EES0429211__X0C__Y1E.jpg,0.825601,23.078331,ok
EES0429211__X0F__Y18.jpg,0.803746,22.212901,ok
EES0429211__X0F__Y1B.jpg,0.845880,24.494455,ok
EES0429211__X0F__Y24.jpg,0.801008,22.051743,ok
EES0429211__X0F__Y27.jpg,0.834319,25.624907,ok
EES0429211__X12__Y0F.jpg,0.928208,33.347338,ok
EES0429211__X12__Y2D.jpg,0.804290,22.667219,ok
EES0429211__X12__Y33.jpg,0.904492,28.117340,ok
EES0429211__X15__Y0C.jpg,0.812484,22.125028,ok
EES0429211__X15__Y36.jpg,0.877959,25.108393,ok
EES0429211__X18__Y06.jpg,0.896053,25.227674,ok
EES0429211__X18__Y36.jpg,0.894459,26.291550,ok
EES0429211__X18__Y39.jpg,0.866575,25.581046,ok
EES0429211__X1B__Y3C.jpg,0.837740,23.658998,ok
EES0429211__X1E__Y03.jpg,0.901779,24.149463,ok
EES0429211__X1E__Y39.jpg,0.858975,23.961722,ok
EES0429211__X27__Y3C.jpg,0.801913,22.356597,ok
EES0429211__X27__Y3F.jpg,0.941927,28.738156,ok
EES0429211__X2A__Y3C.jpg,0.841492,25.196959,ok
EES0429211__X2A__Y3F.jpg,0.912105,24.741295,ok
EES0429211__X30__Y3C.jpg,0.839025,24.886423,ok
EES0429211__X33__Y03.jpg,0.879124,23.030437,ok
EES0429211__X36__Y03.jpg,0.905990,24.920409,ok
EES0429211__X36__Y39.jpg,0.794481,22.952277,ok
EES0429211__X39__Y06.jpg,0.859170,23.274401,ok
EES0429211__X39__Y39.jpg,0.910837,29.361890,ok
EES0429211__X3C__Y36.jpg,0.900486,31.818463,ok
EES0429211__X3F__Y33.jpg,0.906160,30.211717,ok
EES0429211__X42__Y0F.jpg,0.882667,27.426920,ok
EES0429211__X42__Y30.jpg,0.897524,27.526742,ok
EES0429211__X45__Y15.jpg,0.841575,22.500127,ok
EES0429211__X45__Y2A.jpg,0.910109,28.824449,ok
EES0429212__X0F__Y1E.jpg,0.924061,32.965019,ok
EES0429212__X12__Y12.jpg,0.821366,25.570179,ok
EES0429212__X12__Y18.jpg,0.776253,22.326760,ok
